qid,doc_id_1,doc_id_2,doc_id_3,doc_id_4,doc_id_5
q_0763504014,d_c3f616e87e,d_6d053161ab,d_0a5b46cf04,d_48b105390f,d_82491d29e0
q_07b0be0ede,d_25550ee314,d_cc4fd16867,d_e28efd1153,d_1f74238452,d_6c8b749b65
q_07dc020501,d_089dba84fa,d_d0b30d09b3,d_eb1e8c0b16,d_f8b2945e8d,d_842005b9c5
q_0871ae7cfa,d_f8b2945e8d,d_40fbbf0fca,d_7ca81d60bb,d_68874c6ad6,d_a1369d3009
q_0871d5ecf8,d_6c22be023d,d_d58bcac2e4,d_68644240fa,d_ce94f32ecd,d_b74758c0fc
q_08fd231b8e,d_6c8b749b65,d_2eea1a7eec,d_d68f4ab7ea,d_fb0f7e9797,d_3b12d1fbd6
q_0911ab737a,d_68874c6ad6,d_40fbbf0fca,d_f8b2945e8d,d_af7e1ac3a5,d_dd87e5ff2d
q_091dcf917a,d_ede31c25ba,d_aee4be7cac,d_c965cc1c03,d_b2f62b4d48,d_384357bef5
q_09240a1fa5,d_ba5ca18f99,d_6c8b749b65,d_2d7e346926,d_3be090e466,d_a3ea97ebfc
q_092915aad3,d_6c8b749b65,d_3b92c0aa24,d_2eea1a7eec,d_b5693161c2,d_d68f4ab7ea
q_0a50640d28,d_4d31bd4af0,d_2eea1a7eec,d_a3ea97ebfc,d_d235ca1c7e,d_d68f4ab7ea
q_0a9d81e152,d_2d7e346926,d_9697d8c629,d_ce94f32ecd,d_2eea1a7eec,d_f5d1f4d96b
q_0a9f7a3044,d_61e313b506,d_addeb51081,d_f8787907b3,d_30bcc6c53e,d_0e189b18aa
q_0abc7a5f11,d_864ea6a455,d_61c2d77c65,d_21e0ba1f08,d_0216234592,d_fac20a2a71
q_0ad20d7f08,d_f5245eda62,d_48b105390f,d_61e313b506,d_2e1da709f9,d_384357bef5
q_0b2097e9d6,d_8a4c11ed74,d_b74758c0fc,d_24d4075c2d,d_61354d07de,d_ba5ca18f99
q_0b6dfc93fe,d_4e8802e636,d_66ca9ede7e,d_5e801f8663,d_96ddd2839e,d_87849c8689
q_0ba51d0025,d_4a9981e720,d_4e77c29dc6,d_b25f50310e,d_4d31bd4af0,d_a9a59816ed
q_0ba69711e7,d_af7e1ac3a5,d_289c761157,d_fe79ac9d04,d_2ffe632549,d_e84594b7e4
q_0c9605d953,d_06ec9a20c4,d_8357734cfe,d_7f3cc579a7,d_a3ea97ebfc,d_384357bef5
q_0d1c25d31c,d_39fd780536,d_6c5c99de4e,d_10c30d1a6c,d_59010427c0,d_57e93fc894
q_0d2049f483,d_f8b2945e8d,d_8b90552773,d_87849c8689,d_addeb51081,d_f5d1f4d96b
q_0d5e942713,d_7ca81d60bb,d_68874c6ad6,d_40fbbf0fca,d_8b90552773,d_2696b56a1c
q_0d75d40e9d,d_d235ca1c7e,d_531c852674,d_2e1da709f9,d_27974a67a7,d_72fb6411f0
q_0d98f220fc,d_4754c12753,d_d58bcac2e4,d_6c22be023d,d_b5c5cd5746,d_3837ffb996
q_0ddafead38,d_9d7c376f06,d_38f04ea58d,d_69e7c5a79c,d_f04703dac6,d_f9946fb039
q_0e723e9aa3,d_289c761157,d_fe79ac9d04,d_e84594b7e4,d_609e75c97a,d_2696b56a1c
q_0e98f11eab,d_6c8b749b65,d_addeb51081,d_c10a29351e,d_10c30d1a6c,d_fb0f7e9797
q_0ea0cf8bb4,d_1bb696c3c5,d_f7409819ca,d_7738d86d5c,d_af7e1ac3a5,d_e418fd6561
q_0ec5064d9a,d_04ba7f2e18,d_6090bc3aeb,d_4a9981e720,d_b25f50310e,d_531c852674
q_0fbda675d0,d_9d7c376f06,d_f9946fb039,d_04962ca9ed,d_b74758c0fc,d_3953d4e782
q_106561bc88,d_38f04ea58d,d_f04703dac6,d_46e687baa4,d_083198d02d,d_7738d86d5c
q_10bb3872b9,d_48b105390f,d_721df03545,d_d235ca1c7e,d_61e313b506,d_dd87e5ff2d
q_10e0e46b77,d_f9946fb039,d_9d7c376f06,d_2d7e346926,d_2eea1a7eec,d_249072edf1
q_110bcea3d1,d_c43cad7282,d_3429a1a6eb,d_f5245eda62,d_531c852674,d_aee4be7cac
q_1115b7ae46,d_a9a59816ed,d_531c852674,d_04ba7f2e18,d_61e313b506,d_4a9981e720
q_114e870842,d_f7409819ca,d_ce94f32ecd,d_2eea1a7eec,d_864ea6a455,d_9d7c376f06
q_11a84f0dee,d_addeb51081,d_083198d02d,d_f8787907b3,d_2e1da709f9,d_3837ffb996
q_128332f7ae,d_3b103df4b8,d_61e313b506,d_74af7b613e,d_874e7445b2,d_48b105390f
q_12af9a15b2,d_af7e1ac3a5,d_f8b2945e8d,d_f5d1f4d96b,d_2696b56a1c,d_2ffe632549
q_12c06b468a,d_6c4d07449c,d_3837ffb996,d_c6069f8aaf,d_2d7a6ab2bc,d_70e37b97b5
q_12d2658500,d_74af7b613e,d_3b103df4b8,d_874e7445b2,d_2c14115663,d_2827d40fb0
q_1426b91675,d_0216234592,d_6c22be023d,d_67a9ff3a20,d_c8ea5907a4,d_6c8b749b65
q_143cbc171b,d_2d7e346926,d_ce94f32ecd,d_9697d8c629,d_61e313b506,d_2eea1a7eec
q_14761a2707,d_af7e1ac3a5,d_7e1a3c53df,d_68874c6ad6,d_ba5ca18f99,d_61e313b506
q_14c2662d22,d_a9a59816ed,d_2e1da709f9,d_a3ea97ebfc,d_48b105390f,d_4d31bd4af0
q_14cf754de7,d_80dfac9545,d_d235ca1c7e,d_249072edf1,d_7c24dde995,d_7e1a3c53df
q_15731d4280,d_57e93fc894,d_289c761157,d_48b105390f,d_fe79ac9d04,d_e84594b7e4
q_15cd63a5c3,d_6090bc3aeb,d_40fbbf0fca,d_b25f50310e,d_48b105390f,d_4e77c29dc6
q_15ddf2bd5a,d_6c8b749b65,d_48b105390f,d_61e313b506,d_25550ee314,d_8242b4ea41
q_15ffcdbeba,d_2d7e346926,d_9697d8c629,d_ce94f32ecd,d_48b105390f,d_61e313b506
q_179680ebec,d_9d7c376f06,d_f9946fb039,d_1c767b4ea9,d_04962ca9ed,d_416995fc53
q_17d38dfffa,d_21e0ba1f08,d_61e313b506,d_6c4d07449c,d_6090bc3aeb,d_48b105390f
q_182532aa29,d_26eac4d547,d_4e8802e636,d_b5fe279406,d_f8b2945e8d,d_66ca9ede7e
q_1841efafbc,d_3837ffb996,d_6c8b749b65,d_cc4fd16867,d_647812641b,d_addeb51081
q_18bf0b62a2,d_68644240fa,d_d58bcac2e4,d_68874c6ad6,d_48b105390f,d_40fbbf0fca
q_18f1798793,d_61e313b506,d_48b105390f,d_10c30d1a6c,d_d235ca1c7e,d_68874c6ad6
q_1932a88408,d_6090bc3aeb,d_435d80eff0,d_2492468540,d_ba5ca18f99,d_c43cad7282
q_195b397404,d_dd87e5ff2d,d_5e801f8663,d_721df03545,d_2696b56a1c,d_66ca9ede7e
q_195c2fc4cd,d_0e189b18aa,d_a39559a85e,d_3429a1a6eb,d_a3ea97ebfc,d_6d053161ab
q_1963866fd7,d_ede31c25ba,d_b2f62b4d48,d_61e313b506,d_aee4be7cac,d_48b105390f
q_1a81a52657,d_25550ee314,d_61e313b506,d_6c8b749b65,d_cc4fd16867,d_48b105390f
q_1b122ca4bc,d_21e0ba1f08,d_6090bc3aeb,d_864ea6a455,d_346e3b3d50,d_6c4d07449c
q_1b51ce5e36,d_04ba7f2e18,d_6090bc3aeb,d_4a9981e720,d_4e77c29dc6,d_c43cad7282
q_1c31aeab93,d_61e313b506,d_6c8b749b65,d_fac20a2a71,d_b16a7501d1,d_48b105390f
q_1c4f511b56,d_9d7c376f06,d_c3f616e87e,d_d0b30d09b3,d_04962ca9ed,d_1f5d500d58
q_1cb5708feb,d_6c8b749b65,d_fb0f7e9797,d_31ef7f91a8,d_20bb12859e,d_3837ffb996
q_1d01da48d7,d_f5d1f4d96b,d_cc4fd16867,d_5e801f8663,d_c8ea5907a4,d_68644240fa
q_1d3b5ab123,d_80dfac9545,d_40fbbf0fca,d_8b90552773,d_dd87e5ff2d,d_68874c6ad6
q_1dd4fa0234,d_2f76a499e0,d_e418fd6561,d_84772ae936,d_59010427c0,d_2a93df0cd3
q_1e3658b93a,d_fe79ac9d04,d_289c761157,d_e84594b7e4,d_4e8802e636,d_609e75c97a
q_1e647d73a3,d_6c8b749b65,d_647812641b,d_2eea1a7eec,d_b5693161c2,d_a060a0b568
q_1e802366ce,d_04ba7f2e18,d_6090bc3aeb,d_a9a59816ed,d_531c852674,d_b25f50310e
q_1f4e366f3d,d_956682cc66,d_d235ca1c7e,d_3429a1a6eb,d_addeb51081,d_a3ea97ebfc
q_1f592f9029,d_6c8b749b65,d_fb0f7e9797,d_a060a0b568,d_f786a55c3e,d_c8ea5907a4
q_1f6760bd10,d_f8b2945e8d,d_66ca9ede7e,d_4e8802e636,d_6d053161ab,d_e418fd6561
q_1f9ac8b546,d_dec756449e,d_168537aacb,d_b74758c0fc,d_04962ca9ed,d_61e313b506
q_1fe8207dd7,d_04ba7f2e18,d_40fbbf0fca,d_61e313b506,d_d235ca1c7e,d_4a9981e720
q_2032dffd06,d_2d7e346926,d_9697d8c629,d_9d7c376f06,d_dd87e5ff2d,d_ce94f32ecd
q_2064525ab4,d_48b105390f,d_61e313b506,d_6c22be023d,d_d235ca1c7e,d_2d7e346926
q_20b96dfa02,d_6c8b749b65,d_25550ee314,d_fb0f7e9797,d_435d80eff0,d_647812641b
q_20faad7560,d_3d8e1ad86f,d_2d7e346926,d_ce94f32ecd,d_f5d1f4d96b,d_9697d8c629
q_20fca321a6,d_0216234592,d_40fbbf0fca,d_58f5048e9c,d_c08928b4cc,d_8a5468809e
q_2132ab0135,d_58f5048e9c,d_0216234592,d_2e5dd5a64d,d_d85afb9609,d_61c2d77c65
q_21378340fa,d_59010427c0,d_e418fd6561,d_6d053161ab,d_dec756449e,d_9d7c376f06
q_21b4181963,d_3efc43e2bf,d_d58bcac2e4,d_d0b30d09b3,d_68644240fa,d_0ef309c085
q_2211e6c2c0,d_dec756449e,d_083198d02d,d_168537aacb,d_dd87e5ff2d,d_8df79c0571
q_2238a2df5b,d_0216234592,d_615ceb0fcb,d_c08928b4cc,d_249072edf1,d_aee4be7cac
q_226945debf,d_8fbf57d7ce,d_8a5468809e,d_c8ea5907a4,d_615ceb0fcb,d_d85afb9609
q_2279ea96d4,d_6c8b749b65,d_2eea1a7eec,d_fb0f7e9797,d_647812641b,d_a060a0b568
q_22b4dfa995,d_48b105390f,d_61e313b506,d_6c22be023d,d_68644240fa,d_d58bcac2e4
q_22e4824ad6,d_0216234592,d_249072edf1,d_58f5048e9c,d_61c2d77c65,d_998d99a4b7
q_2397165baf,d_a3ea97ebfc,d_864ea6a455,d_61c2d77c65,d_21e0ba1f08,d_346e3b3d50
q_23b3347002,d_d58bcac2e4,d_61e313b506,d_68644240fa,d_6c22be023d,d_48b105390f
q_23e6b85df7,d_61e313b506,d_48b105390f,d_25550ee314,d_8242b4ea41,d_10c30d1a6c
q_2489c8972d,d_74af7b613e,d_3b103df4b8,d_531c852674,d_874e7445b2,d_3837ffb996
q_24fc73fe87,d_a99e2c01f3,d_531c852674,d_a9a59816ed,d_04ba7f2e18,d_f5245eda62
q_2529075619,d_6090bc3aeb,d_21e0ba1f08,d_f7409819ca,d_864ea6a455,d_c8ea5907a4
q_25422c1294,d_6c8b749b65,d_2eea1a7eec,d_31ef7f91a8,d_addeb51081,d_a060a0b568
q_25577a8ef6,d_ff78d23d5d,d_c8ea5907a4,d_39fd780536,d_f9572383d4,d_4754c12753
q_2596b883f1,d_61e313b506,d_d235ca1c7e,d_48b105390f,d_9697d8c629,d_f5245eda62
q_25b692872b,d_04ba7f2e18,d_531c852674,d_4a9981e720,d_c43cad7282,d_6090bc3aeb
q_25e5c19641,d_aee4be7cac,d_61586847b7,d_b2f62b4d48,d_a99e2c01f3,d_8357734cfe
q_2635975724,d_f9572383d4,d_ff78d23d5d,d_e418fd6561,d_59010427c0,d_6d053161ab
q_2698e655af,d_f8b2945e8d,d_721df03545,d_2696b56a1c,d_48b105390f,d_dd87e5ff2d
q_26e179b7b7,d_de01daec14,d_f5245eda62,d_f8787907b3,d_a39559a85e,d_083198d02d
q_26ed792567,d_6c8b749b65,d_2eea1a7eec,d_fb0f7e9797,d_647812641b,d_de01daec14
q_26ef1dd81c,d_9d7c376f06,d_04962ca9ed,d_3953d4e782,d_f9946fb039,d_d0b30d09b3
q_270dfc3457,d_3d8e1ad86f,d_4e8802e636,d_ce94f32ecd,d_f5d1f4d96b,d_8b90552773
q_2711ef8138,d_a9a59816ed,d_9697d8c629,d_2eea1a7eec,d_2e1da709f9,d_61e313b506
q_2746a285ae,d_04ba7f2e18,d_4a9981e720,d_6090bc3aeb,d_d235ca1c7e,d_531c852674
q_2851d078d9,d_61e313b506,d_f687b4ecee,d_b9c02c51e7,d_9d7c376f06,d_48b105390f
q_285f6c3908,d_d85afb9609,d_e96752e1fe,d_61c2d77c65,d_8fbf57d7ce,d_58f5048e9c
q_299a4f90ed,d_4754c12753,d_d58bcac2e4,d_ff78d23d5d,d_6c22be023d,d_f9572383d4
q_29d894a5ca,d_25550ee314,d_fb0f7e9797,d_e8a3e8a9f6,d_31ef7f91a8,d_6c8b749b65
q_2a286cef21,d_346e3b3d50,d_531c852674,d_915e9c379c,d_8242b4ea41,d_a99e2c01f3
q_2a2a126359,d_9d7c376f06,d_f9946fb039,d_dd87e5ff2d,d_2d7e346926,d_f5d1f4d96b
q_2a3fbad9df,d_721df03545,d_e5a8c96f07,d_40fbbf0fca,d_2696b56a1c,d_59010427c0
q_2b2b6d4905,d_8fbf57d7ce,d_40fbbf0fca,d_615ceb0fcb,d_e96752e1fe,d_61c2d77c65
q_2b9c6493aa,d_21e0ba1f08,d_6090bc3aeb,d_7738d86d5c,d_fac20a2a71,d_cd60802fb6
q_2ba3fa8c9b,d_61e313b506,d_531c852674,d_48b105390f,d_74af7b613e,d_a3ea97ebfc
q_2bebec0916,d_68874c6ad6,d_40fbbf0fca,d_721df03545,d_f8b2945e8d,d_68644240fa
q_2c65cd1a8e,d_67a9ff3a20,d_74af7b613e,d_874e7445b2,d_3b103df4b8,d_2c14115663
q_2c71f6c758,d_b74758c0fc,d_dec756449e,d_61e313b506,d_f5d1f4d96b,d_25f9900ee0
q_2cb6cfcba8,d_6d053161ab,d_67a9ff3a20,d_e418fd6561,d_0e189b18aa,d_a39559a85e
q_2d6e151012,d_0216234592,d_61c2d77c65,d_e96752e1fe,d_58f5048e9c,d_249072edf1
q_2dd64bf8ba,d_8fbf57d7ce,d_61c2d77c65,d_615ceb0fcb,d_0216234592,d_e96752e1fe
q_2e9e3f0fa3,d_04ba7f2e18,d_531c852674,d_6c4d07449c,d_cc4fd16867,d_21e0ba1f08
q_2f00042757,d_4e8802e636,d_21e0ba1f08,d_66ca9ede7e,d_d0b30d09b3,d_61e313b506
q_2f9adde444,d_6c8b749b65,d_cc4fd16867,d_a99e2c01f3,d_25550ee314,d_c10a29351e
q_3031dc73ee,d_3837ffb996,d_addeb51081,d_80dfac9545,d_6c4d07449c,d_b74758c0fc
q_303900bb70,d_61c2d77c65,d_58f5048e9c,d_0216234592,d_d85afb9609,d_40fbbf0fca
q_30979f41be,d_58f5048e9c,d_61c2d77c65,d_e28efd1153,d_8fbf57d7ce,d_615ceb0fcb
q_30e0d72d13,d_a9a59816ed,d_27974a67a7,d_083198d02d,d_2e1da709f9,d_48b105390f
q_310bd821d6,d_f8b2945e8d,d_d85afb9609,d_68874c6ad6,d_40fbbf0fca,d_615ceb0fcb
q_317cf174b8,d_04ba7f2e18,d_4a9981e720,d_531c852674,d_d235ca1c7e,d_c43cad7282
q_31a95113af,d_2d7e346926,d_9697d8c629,d_ce94f32ecd,d_2eea1a7eec,d_f5d1f4d96b
q_31c9da6733,d_c43cad7282,d_a9a59816ed,d_04ba7f2e18,d_b25f50310e,d_3837ffb996
q_31d731e896,d_6c8b749b65,d_cc4fd16867,d_31ef7f91a8,d_3b12d1fbd6,d_f786a55c3e
q_327d31d4d0,d_af7e1ac3a5,d_87849c8689,d_9d7c376f06,d_a1369d3009,d_b74758c0fc
q_32a36b3049,d_9697d8c629,d_c10a29351e,d_1cce586885,d_feb3b27190,d_addeb51081
q_330781f1e0,d_f8b2945e8d,d_4e8802e636,d_721df03545,d_66ca9ede7e,d_7ca81d60bb
q_3319d18cd7,d_f8b2945e8d,d_61354d07de,d_c8ea5907a4,d_40fbbf0fca,d_249072edf1
q_3321dd6e46,d_a3ea97ebfc,d_346e3b3d50,d_1f74238452,d_531c852674,d_68874c6ad6
q_3333bb8798,d_a9a59816ed,d_48b105390f,d_4e77c29dc6,d_61e313b506,d_d235ca1c7e
q_33fbfacf19,d_2eea1a7eec,d_6c8b749b65,d_647812641b,d_fb0f7e9797,d_3b12d1fbd6
q_345c8a8324,d_57e93fc894,d_289c761157,d_48b105390f,d_fe79ac9d04,d_e84594b7e4
q_349cda7c3f,d_6c8b749b65,d_a060a0b568,d_cc4fd16867,d_b5693161c2,d_48fa1cfb1b
q_34bc2eed78,d_6c22be023d,d_4754c12753,d_d58bcac2e4,d_68644240fa,d_ce94f32ecd
q_34dec9ef69,d_fac20a2a71,d_a9a59816ed,d_67a9ff3a20,d_2e1da709f9,d_61e313b506
q_35144f539b,d_7738d86d5c,d_39fd780536,d_458c35181e,d_10c30d1a6c,d_af7e1ac3a5
q_352d286edf,d_84772ae936,d_9d7c376f06,d_2f76a499e0,d_eb1e8c0b16,d_760f298b9d
q_354702d9fb,d_2d7e346926,d_f5d1f4d96b,d_3d8e1ad86f,d_ce94f32ecd,d_9697d8c629
q_35629a9a85,d_68874c6ad6,d_40fbbf0fca,d_f8b2945e8d,d_943e25b499,d_f5d1f4d96b
q_3572cb17bb,d_d0b30d09b3,d_7ebe65fe6b,d_04962ca9ed,d_f5d1f4d96b,d_3d8e1ad86f
q_35a8ce11ed,d_39fd780536,d_4754c12753,d_031bb856af,d_a060a0b568,d_4e77c29dc6
q_35ac736546,d_04ba7f2e18,d_531c852674,d_4a9981e720,d_cc4fd16867,d_72fb6411f0
q_35cad556d6,d_b74758c0fc,d_9d7c376f06,d_57e93fc894,d_04962ca9ed,d_9e8da97e56
q_365d85783c,d_a9a59816ed,d_1f74238452,d_4d31bd4af0,d_b25f50310e,d_4e77c29dc6
q_37a8184977,d_6c8b749b65,d_fb0f7e9797,d_b5693161c2,d_20bb12859e,d_647812641b
q_3838689750,d_6c8b749b65,d_25550ee314,d_fb0f7e9797,d_2492468540,d_435d80eff0
q_3839cc9ba7,d_f5245eda62,d_2e1da709f9,d_f8787907b3,d_67a9ff3a20,d_435d80eff0
q_384697d76a,d_68644240fa,d_f8b2945e8d,d_4e8802e636,d_af7e1ac3a5,d_68874c6ad6
q_386dbcb502,d_04ba7f2e18,d_c43cad7282,d_8011607423,d_531c852674,d_938c334349
q_38f49412ec,d_8c0aaf2600,d_b74758c0fc,d_61354d07de,d_de01daec14,d_24d4075c2d
q_38fcf27d13,d_48b105390f,d_f8787907b3,d_2e1da709f9,d_74af7b613e,d_0e189b18aa
q_393ca14a13,d_21e0ba1f08,d_864ea6a455,d_4754c12753,d_c8ea5907a4,d_cc4fd16867
q_39b649926d,d_58f5048e9c,d_68874c6ad6,d_61c2d77c65,d_40fbbf0fca,d_615ceb0fcb
q_3a750190ef,d_6c8b749b65,d_3b12d1fbd6,d_25550ee314,d_b5693161c2,d_2eea1a7eec
q_3aa0f12176,d_6090bc3aeb,d_3429a1a6eb,d_2d7e346926,d_956682cc66,d_dd87e5ff2d
q_3aba0662e9,d_f8b2945e8d,d_a1369d3009,d_68874c6ad6,d_7ca81d60bb,d_40fbbf0fca
q_3abf108f77,d_d85afb9609,d_e96752e1fe,d_61c2d77c65,d_8a5468809e,d_58f5048e9c
q_3af7bdbbba,d_d85afb9609,d_249072edf1,d_0216234592,d_40fbbf0fca,d_998d99a4b7
q_3b35fd58ef,d_f8b2945e8d,d_4d2febd25e,d_ffa6ec73b0,d_6dfb80afe3,d_40fbbf0fca
q_3c42c0e3fa,d_48b105390f,d_d235ca1c7e,d_61e313b506,d_1f74238452,d_083198d02d
q_3dd3d566fe,d_6c8b749b65,d_b5693161c2,d_647812641b,d_10c30d1a6c,d_cc4fd16867
q_3deffb587b,d_031bb856af,d_b74758c0fc,d_3429a1a6eb,d_dec756449e,d_b25f50310e
q_3e735789a9,d_6c8b749b65,d_fb0f7e9797,d_647812641b,d_3b92c0aa24,d_b5693161c2
q_3e831ff1c5,d_61e313b506,d_48b105390f,d_a9a59816ed,d_1f74238452,d_3837ffb996
q_3f234e081a,d_04ba7f2e18,d_531c852674,d_40fbbf0fca,d_c43cad7282,d_68874c6ad6
q_3f2afb31c8,d_48b105390f,d_61e313b506,d_66ca9ede7e,d_249072edf1,d_4e8802e636
q_3f5e257189,d_68874c6ad6,d_61e313b506,d_7ca81d60bb,d_f8b2945e8d,d_40fbbf0fca
q_3f96072028,d_346e3b3d50,d_6c4d07449c,d_21e0ba1f08,d_864ea6a455,d_3837ffb996
q_401961db7a,d_8a5468809e,d_e96752e1fe,d_8fbf57d7ce,d_61c2d77c65,d_615ceb0fcb
q_4078a0ac78,d_6c8b749b65,d_61e313b506,d_48b105390f,d_1f74238452,d_cc4fd16867
q_40ba26e686,d_f9572383d4,d_ff78d23d5d,d_59010427c0,d_6b1d2d1545,d_6d053161ab
q_40bada9560,d_6c8b749b65,d_3b92c0aa24,d_647812641b,d_fb0f7e9797,d_c8ea5907a4
q_40f82ac264,d_6090bc3aeb,d_ba5ca18f99,d_435d80eff0,d_feb3b27190,d_b25f50310e
q_41db4d8e1d,d_864ea6a455,d_21e0ba1f08,d_d235ca1c7e,d_f772ca5623,d_6090bc3aeb
q_4205df7661,d_25550ee314,d_8242b4ea41,d_31ef7f91a8,d_6c8b749b65,d_e8a3e8a9f6
q_424937fe6d,d_c8ea5907a4,d_8a5468809e,d_68644240fa,d_c10a29351e,d_67a9ff3a20
q_4283aa1fa7,d_48b105390f,d_61e313b506,d_c43cad7282,d_04ba7f2e18,d_531c852674
q_431538fdc4,d_48b105390f,d_61e313b506,d_a9a59816ed,d_aee4be7cac,d_f5245eda62
q_4327cad66b,d_6c4d07449c,d_04ba7f2e18,d_531c852674,d_6090bc3aeb,d_4a9981e720
q_432b2331d1,d_66ca9ede7e,d_4e8802e636,d_f8b2945e8d,d_87849c8689,d_a9dbfdbe77
q_43bd2f66cb,d_04ba7f2e18,d_531c852674,d_4a9981e720,d_6090bc3aeb,d_d235ca1c7e
q_4410361514,d_eb1e8c0b16,d_089dba84fa,d_d0b30d09b3,d_b5c5cd5746,d_9d7c376f06
q_442ef873ee,d_addeb51081,d_3b12d1fbd6,d_a3ea97ebfc,d_1f74238452,d_25550ee314
q_4475a4bb67,d_04ba7f2e18,d_a39559a85e,d_531c852674,d_72fb6411f0,d_b25f50310e
q_44cca1f23c,d_6c22be023d,d_d58bcac2e4,d_4754c12753,d_ce94f32ecd,d_c43cad7282
q_4537618b09,d_6c8b749b65,d_48b105390f,d_d235ca1c7e,d_f786a55c3e,d_2eea1a7eec
q_45d4863345,d_ba5ca18f99,d_d235ca1c7e,d_addeb51081,d_61e313b506,d_48b105390f
q_45f8aff952,d_615ceb0fcb,d_8a5468809e,d_61c2d77c65,d_8fbf57d7ce,d_083198d02d
q_46f60d90a9,d_8fbf57d7ce,d_c8ea5907a4,d_8a5468809e,d_f8b2945e8d,d_61c2d77c65
q_47390c67fe,d_72fb6411f0,d_531c852674,d_f5245eda62,d_f8787907b3,d_8242b4ea41
q_473e8a60d0,d_ce94f32ecd,d_9d7c376f06,d_f5d1f4d96b,d_f9946fb039,d_4e8802e636
q_47f46e0357,d_a99e2c01f3,d_6c8b749b65,d_fb0f7e9797,d_2eea1a7eec,d_3b12d1fbd6
q_482b1b5d81,d_a99e2c01f3,d_aee4be7cac,d_8357734cfe,d_30bcc6c53e,d_b2f62b4d48
q_483213f49e,d_6090bc3aeb,d_21e0ba1f08,d_c8ea5907a4,d_a99e2c01f3,d_864ea6a455
q_48777c7d0e,d_6c8b749b65,d_3b92c0aa24,d_b5693161c2,d_647812641b,d_fb0f7e9797
q_48a2f84b09,d_a3ea97ebfc,d_8357734cfe,d_6c4d07449c,d_384357bef5,d_a99e2c01f3
q_48ed01f0a9,d_04ba7f2e18,d_531c852674,d_6090bc3aeb,d_c43cad7282,d_6c4d07449c
q_48fbeef20e,d_de01daec14,d_06ec9a20c4,d_61586847b7,d_2e1da709f9,d_384357bef5
q_4a0a3d9313,d_9d7c376f06,d_59010427c0,d_ce94f32ecd,d_c8ea5907a4,d_d85afb9609
q_4a30397c93,d_61e313b506,d_04ba7f2e18,d_48b105390f,d_6090bc3aeb,d_40fbbf0fca
q_4a3a36a46d,d_58f5048e9c,d_d85afb9609,d_e96752e1fe,d_615ceb0fcb,d_c08928b4cc
q_4a5144d4e5,d_74af7b613e,d_874e7445b2,d_3b103df4b8,d_2c14115663,d_2827d40fb0
q_4af8677116,d_04ba7f2e18,d_4a9981e720,d_b25f50310e,d_c43cad7282,d_531c852674
q_4c257f6d65,d_b25f50310e,d_4e77c29dc6,d_531c852674,d_4a9981e720,d_04ba7f2e18
q_4d8b8ecbc5,d_ec69499084,d_524917f641,d_f7409819ca,d_9d7c376f06,d_b9c02c51e7
q_4d9482929b,d_dec756449e,d_2a93df0cd3,d_031bb856af,d_7738d86d5c,d_39fd780536
